category,question,answer
상설전시관_성인,상설전시관 성인 요금은 얼마인가요?,"성인(19세 이상)은 개인 2,000원이에요. 단체 이용은 불가해요."
상설전시관_청소년,상설전시관 청소년 요금은 얼마인가요?,"청소년(13~18세)은 개인 1,000원이에요. 단체 이용은 불가해요."
상설전시관_초등,상설전시관 초등학생 요금은 얼마인가요?,"초등학생(7~12세)은 개인 1,000원, 단체 500원이에요."
상설전시관_유아,상설전시관 유아 요금은 얼마인가요?,"유아(6세 이하)는 무료예요."
천체투영관_성인,천체투영관 성인 요금은 얼마인가요?,"성인(19세 이상)은 1,500원이에요."
천체투영관_청소년,천체투영관 청소년 요금은 얼마인가요?,"청소년(13~18세)은 1,000원이에요."
천체투영관_초등,천체투영관 초등학생 요금은 얼마인가요?,"초등학생(7~12세)은 1,000원이에요."
천체투영관_유아,천체투영관 유아 요금은 얼마인가요?,"유아(4~6세)는 1,000원이에요. 성인 보호자 동반 및 결제 시 이용 가능해요."
연나이,연나이는 어떻게 계산하나요?,"연나이는 현재년도에서 출생년도를 뺀 값이에요. 예를 들어 2026년 기준 2020년생은 6세예요."
우대고객_상설,상설전시관 우대고객은 누구인가요?,"65세 이상 경로우대자, 과학기술유공자, 장애인, 국가유공자, 기초생활수급자 및 차상위계층, 한부모가족 지원대상자는 무료예요."
우대고객_천체,천체투영관 우대고객은 누구인가요?,"65세 이상 경로우대자, 과학기술유공자, 장애인, 국가유공자, 기초생활수급자 및 차상위계층, 한부모가족 지원대상자는 1,000원이에요."
장애인_중증,중증장애인 할인은 어떻게 되나요?,"중증장애인(1~3급)은 본인과 동반보호자 1인이 무료 또는 우대요금이 적용돼요."
장애인_경증,경증장애인 할인은 어떻게 되나요?,"경증장애인(4급 이상)은 본인만 무료 또는 우대요금이 적용돼요."
다자녀,다자녀 할인이 있나요?,"다자녀카드 보유자는 상설전시관 개인요금의 50% 할인을 받을 수 있어요. 신분증과 지역에서 발급한 카드를 지참해주세요."
단체인솔자,단체 인솔자는 무료인가요?,"초등학생 20명당 인솔자 1명, 유아 10명당 인솔자 1명은 상설전시관 관람료가 면제돼요."
환불,환불은 어떻게 하나요?,"개인 관람객은 관람 당일 오전 10시 전까지 신청콕에서 전체 취소만 가능해요."
증빙서류,우대고객은 무엇을 지참해야 하나요?,"우대고객은 신분증과 증명서를 반드시 지참해주세요."
